# Configuration: STAG 12 Pack (Pack 3S4P) @ 60.0°C
# Output Level: Cell (raw cell values)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
6,4.141003,99.814815,-20.705013,-5,-0.008333,59.9221,-0.034226,4.137139
6.1,4.140842,99.811728,-20.704208,-5,-0.008472,59.929589,-0.033877,3.739454
6.2,4.140682,99.808642,-20.70341,-5,-0.008611,59.936352,-0.033534,3.38028
6.3,4.140524,99.805556,-20.70262,-5,-0.00875,59.94246,-0.033198,3.055886
6.4,4.140367,99.802469,-20.701837,-5,-0.008889,59.947976,-0.032867,2.7629
6.5,4.140212,99.799383,-20.701061,-5,-0.009028,59.952959,-0.032543,2.498281
6.6,4.140058,99.796296,-20.700291,-5,-0.009167,59.957459,-0.032225,2.259278
6.7,4.139906,99.79321,-20.699529,-5,-0.009306,59.961524,-0.031913,2.043409
6.8,4.139754,99.790123,-20.698772,-5,-0.009444,59.965195,-0.031606,1.848433
6.9,4.139604,99.787037,-20.698022,-5,-0.009583,59.968511,-0.031306,1.672325
7,4.139456,99.783951,-20.697278,-5,-0.009722,59.971506,-0.031011,1.513258
7.1,4.139308,99.780864,-20.696541,-5,-0.009861,59.974212,-0.030722,1.369579
7.2,4.139162,99.777778,-20.695809,-5,-0.01,59.976655,-0.030439,1.239799
7.3,4.139017,99.774691,-20.695083,-5,-0.010139,59.978863,-0.030161,1.12257
7.4,4.138872,99.771605,-20.694362,-5,-0.010278,59.980857,-0.029888,1.016677
7.5,4.138729,99.768519,-20.693647,-5,-0.010417,59.982658,-0.029621,0.921021
7.6,4.138588,99.765432,-20.692938,-5,-0.010556,59.984285,-0.029359,0.83461
7.7,4.138447,99.762346,-20.692234,-5,-0.010694,59.985755,-0.029101,0.75655
7.8,4.138307,99.759259,-20.691535,-5,-0.010833,59.987082,-0.028849,0.686031
7.9,4.138168,99.756173,-20.690841,-5,-0.010972,59.988282,-0.028602,0.622322
