# Configuration: STAG 12 Pack (Pack 3S4P) @ 10.0°C
# Output Level: Cell (raw cell values)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
0,4.152417,100,-20.762086,-5,0,25,0.020864,-796.629357
0.1,4.150574,99.996914,-20.752869,-5,-0.000139,23.546201,0.033795,-719.420088
0.2,4.148819,99.993827,-20.744097,-5,-0.000278,22.233332,0.045842,-649.695403
0.3,4.147146,99.990741,-20.735729,-5,-0.000417,21.047731,0.05709,-586.729792
0.4,4.145546,99.987654,-20.727728,-5,-0.000556,19.977063,0.067615,-529.868069
0.5,4.144013,99.984568,-20.720064,-5,-0.000694,19.010186,0.077483,-478.518559
0.6,4.142541,99.981481,-20.712706,-5,-0.000833,18.137039,0.086755,-432.146938
0.7,4.141126,99.978395,-20.705631,-5,-0.000972,17.348537,0.095485,-390.270679
0.8,4.139763,99.975309,-20.698816,-5,-0.001111,16.636474,0.103722,-352.454026
0.9,4.138448,99.972222,-20.692241,-5,-0.00125,15.993442,0.111507,-318.303463
1,4.137178,99.969136,-20.685889,-5,-0.001389,15.412748,0.11888,-287.463619
1.1,4.135951,99.966049,-20.679754,-5,-0.001528,14.888351,0.125869,-259.61357
1.2,4.134777,99.962963,-20.673883,-5,-0.001667,14.414791,0.132477,-234.463497
1.3,4.13364,99.959877,-20.668199,-5,-0.001806,13.987143,0.138762,-211.751677
1.4,4.132538,99.95679,-20.66269,-5,-0.001944,13.600955,0.14475,-191.241755
1.5,4.131469,99.953704,-20.657345,-5,-0.002083,13.252208,0.150464,-172.720288
1.6,4.130431,99.950617,-20.652154,-5,-0.002222,12.937273,0.155925,-155.994525
1.7,4.129422,99.947531,-20.647109,-5,-0.002361,12.652872,0.161151,-140.890395
1.8,4.12844,99.944444,-20.642201,-5,-0.0025,12.396046,0.166159,-127.250702
1.9,4.127487,99.941358,-20.637437,-5,-0.002639,12.164121,0.170958,-114.933488
2,4.126559,99.938272,-20.632793,-5,-0.002778,11.954684,0.17557,-103.810555
2.1,4.125653,99.935185,-20.628265,-5,-0.002917,11.765554,0.180006,-93.766132
2.2,4.124769,99.932099,-20.623846,-5,-0.003056,11.594763,0.184278,-84.695669
2.3,4.123907,99.929012,-20.619533,-5,-0.003194,11.440533,0.188397,-76.504751
2.4,4.123064,99.925926,-20.615319,-5,-0.003333,11.30126,0.192372,-69.108116
2.5,4.122241,99.92284,-20.611203,-5,-0.003472,11.175492,0.19621,-62.428766
2.6,4.121436,99.919753,-20.607178,-5,-0.003611,11.061921,0.199921,-56.397166
2.7,4.120649,99.916667,-20.603243,-5,-0.00375,10.959364,0.20351,-50.950522
2.8,4.119879,99.91358,-20.599393,-5,-0.003889,10.866754,0.206986,-46.032127
2.9,4.119125,99.910494,-20.595626,-5,-0.004028,10.783126,0.210352,-41.59077
3,4.118388,99.907407,-20.591939,-5,-0.004167,10.70761,0.213616,-37.580206
3.1,4.117666,99.904321,-20.588328,-5,-0.004306,10.639419,0.216781,-33.95867
