# Configuration: STAG 12 Pack (Pack 3S4P) @ 45.0°C
# Output Level: Cell (raw cell values)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
0,4.152417,100,-20.762086,-5,0,25,0.020864,1062.172476
0.1,4.151951,99.996914,-20.759756,-5,-0.000139,26.938499,0.015392,959.22148
0.2,4.151516,99.993827,-20.757578,-5,-0.000278,28.689102,0.010492,866.249334
0.3,4.151103,99.990741,-20.755513,-5,-0.000417,30.270023,0.006131,782.288803
0.4,4.150707,99.987654,-20.753537,-5,-0.000556,31.697708,0.002271,706.4664
0.5,4.150326,99.984568,-20.751629,-5,-0.000694,32.987011,-0.001129,637.993305
0.6,4.149955,99.981481,-20.749777,-5,-0.000833,34.151345,-0.004106,576.157155
0.7,4.149595,99.978395,-20.747973,-5,-0.000972,35.202822,-0.006699,520.314638
0.8,4.149242,99.975309,-20.746208,-5,-0.001111,36.152382,-0.008943,469.884795
0.9,4.148896,99.972222,-20.744478,-5,-0.00125,37.009904,-0.010871,424.34298
1,4.148556,99.969136,-20.74278,-5,-0.001389,37.784309,-0.012515,383.2154
1.1,4.148222,99.966049,-20.74111,-5,-0.001528,38.483654,-0.013901,346.074187
1.2,4.147893,99.962963,-20.739467,-5,-0.001667,39.115213,-0.015057,312.532945
1.3,4.14757,99.959877,-20.737848,-5,-0.001806,39.685557,-0.016007,282.242732
1.4,4.147251,99.95679,-20.736253,-5,-0.001944,40.200621,-0.016327,254.88842
1.5,4.146934,99.953704,-20.73467,-5,-0.002083,40.665763,-0.015887,230.185358
1.6,4.146619,99.950617,-20.733093,-5,-0.002222,41.085823,-0.015388,207.876552
1.7,4.146305,99.947531,-20.731524,-5,-0.002361,41.46517,-0.014836,187.729937
1.8,4.145992,99.944444,-20.729962,-5,-0.0025,41.807751,-0.014237,169.535943
1.9,4.145682,99.941358,-20.728409,-5,-0.002639,42.117129,-0.013599,153.105311
2,4.145373,99.938272,-20.726866,-5,-0.002778,42.396522,-0.012927,138.267126
2.1,4.145067,99.935185,-20.725334,-5,-0.002917,42.648837,-0.012225,124.86704
2.2,4.144763,99.932099,-20.723814,-5,-0.003056,42.876698,-0.0115,112.765665
2.3,4.144461,99.929012,-20.722306,-5,-0.003194,43.082475,-0.010754,101.837124
2.4,4.144162,99.925926,-20.720811,-5,-0.003333,43.268309,-0.009992,91.96774
2.5,4.143866,99.92284,-20.71933,-5,-0.003472,43.436132,-0.009217,83.054855
2.6,4.143573,99.919753,-20.717863,-5,-0.003611,43.587692,-0.008433,75.00576
2.7,4.143282,99.916667,-20.71641,-5,-0.00375,43.724562,-0.007641,67.736734
2.8,4.142994,99.91358,-20.714972,-5,-0.003889,43.848169,-0.006845,61.172168
2.9,4.14271,99.910494,-20.713548,-5,-0.004028,43.959796,-0.006047,55.243785
3,4.142428,99.907407,-20.71214,-5,-0.004167,44.060606,-0.005247,49.889922
3.1,4.14215,99.904321,-20.710748,-5,-0.004306,44.151646,-0.004449,45.054896
3.2,4.141874,99.901235,-20.70937,-5,-0.004444,44.233864,-0.003653,40.688419
3.3,4.141602,99.898148,-20.708008,-5,-0.004583,44.308115,-0.00286,36.745079
3.4,4.141332,99.895062,-20.706661,-5,-0.004722,44.37517,-0.002073,33.183863
3.5,4.141066,99.891975,-20.70533,-5,-0.004861,44.435727,-0.001292,29.967737
3.6,4.140803,99.888889,-20.704013,-5,-0.005,44.490417,-0.000517,27.063252
3.7,4.140543,99.885802,-20.702713,-5,-0.005139,44.539807,0.00025,24.440205
3.8,4.140285,99.882716,-20.701427,-5,-0.005278,44.584412,0.001009,22.071318
3.9,4.140031,99.87963,-20.700156,-5,-0.005417,44.624695,0.001759,19.931959
4,4.13978,99.876543,-20.6989,-5,-0.005556,44.661074,0.0025,17.999881
4.1,4.139532,99.873457,-20.697658,-5,-0.005694,44.693929,0.003232,16.254994
4.2,4.139286,99.87037,-20.696431,-5,-0.005833,44.723601,0.003953,14.679158
4.3,4.139044,99.867284,-20.695219,-5,-0.005972,44.750399,0.004665,13.255987
4.4,4.138804,99.864198,-20.694021,-5,-0.006111,44.7746,0.005366,11.970687
4.5,4.138567,99.861111,-20.692836,-5,-0.00625,44.796457,0.006056,10.809894
4.6,4.138333,99.858025,-20.691665,-5,-0.006389,44.816197,0.006736,9.761543
4.7,4.138102,99.854938,-20.690508,-5,-0.006528,44.834024,0.007405,8.814737
4.8,4.137873,99.851852,-20.689365,-5,-0.006667,44.850125,0.008063,7.959633
4.9,4.137647,99.848765,-20.688234,-5,-0.006806,44.864667,0.00871,7.187346
5,4.137423,99.845679,-20.687116,-5,-0.006944,44.8778,0.009346,6.489849
5.1,4.137202,99.842593,-20.686011,-5,-0.007083,44.889662,0.009972,5.859895
5.2,4.136984,99.839506,-20.684918,-5,-0.007222,44.900375,0.010586,5.290938
5.3,4.136768,99.83642,-20.683838,-5,-0.007361,44.910051,0.01119,4.777067
5.4,4.136554,99.833333,-20.68277,-5,-0.0075,44.91879,0.011783,4.312944
5.5,4.136343,99.830247,-20.681713,-5,-0.007639,44.926683,0.012365,3.893748
5.6,4.136134,99.82716,-20.680669,-5,-0.007778,44.933813,0.012937,3.515127
5.7,4.135927,99.824074,-20.679635,-5,-0.007917,44.940252,0.013499,3.173147
