# Configuration: STAG 12 Pack (Pack 3S4P) @ 35.0°C
# Output Level: Cell (raw cell values)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
0,4.152417,100,-20.762086,-5,0,25,0.020864,531.086238
0.1,4.151784,99.996914,-20.758922,-5,-0.000139,25.96927,0.01985,479.609644
0.2,4.151176,99.993827,-20.755878,-5,-0.000278,26.844593,0.019079,433.122416
0.3,4.150587,99.990741,-20.752935,-5,-0.000417,27.635077,0.018532,391.140947
0.4,4.150016,99.987654,-20.750082,-5,-0.000556,28.348943,0.01819,353.228503
0.5,4.149461,99.984568,-20.747307,-5,-0.000694,28.993618,0.018034,318.990681
0.6,4.148921,99.981481,-20.744604,-5,-0.000833,29.575809,0.018046,288.071308
0.7,4.148393,99.978395,-20.741965,-5,-0.000972,30.101573,0.018209,260.148734
0.8,4.147877,99.975309,-20.739385,-5,-0.001111,30.576378,0.018508,234.932485
0.9,4.147372,99.972222,-20.73686,-5,-0.00125,31.005164,0.018927,212.160242
1,4.146877,99.969136,-20.734386,-5,-0.001389,31.392392,0.019453,191.595114
1.1,4.146392,99.966049,-20.73196,-5,-0.001528,31.742089,0.020075,173.023171
1.2,4.145916,99.962963,-20.729579,-5,-0.001667,32.057894,0.020779,156.251216
1.3,4.145448,99.959877,-20.727241,-5,-0.001806,32.343091,0.021557,141.104783
1.4,4.144989,99.95679,-20.724944,-5,-0.001944,32.600647,0.022398,127.426313
1.5,4.144537,99.953704,-20.722686,-5,-0.002083,32.833242,0.023294,115.073521
1.6,4.144093,99.950617,-20.720466,-5,-0.002222,33.043295,0.024237,103.917913
1.7,4.143656,99.947531,-20.718282,-5,-0.002361,33.23299,0.025221,93.84345
1.8,4.143227,99.944444,-20.716133,-5,-0.0025,33.404302,0.026239,84.74534
1.9,4.142812,99.941358,-20.714059,-5,-0.002639,33.559011,0.027264,76.528949
2,4.142404,99.938272,-20.712018,-5,-0.002778,33.698727,0.028313,69.108818
2.1,4.142001,99.935185,-20.710006,-5,-0.002917,33.824903,0.029382,62.407767
2.2,4.141605,99.932099,-20.708024,-5,-0.003056,33.938852,0.030466,56.3561
2.3,4.141214,99.929012,-20.706071,-5,-0.003194,34.041759,0.031561,50.890875
2.4,4.140829,99.925926,-20.704147,-5,-0.003333,34.134693,0.032665,45.955251
2.5,4.14045,99.92284,-20.702251,-5,-0.003472,34.218622,0.033774,41.497896
2.6,4.140076,99.919753,-20.700382,-5,-0.003611,34.294419,0.034885,37.472455
2.7,4.139708,99.916667,-20.69854,-5,-0.00375,34.362871,0.035997,33.837066
2.8,4.139345,99.91358,-20.696724,-5,-0.003889,34.42469,0.037106,30.553922
2.9,4.138987,99.910494,-20.694934,-5,-0.004028,34.48052,0.038212,27.588885
3,4.138634,99.907407,-20.693169,-5,-0.004167,34.53094,0.039312,24.911121
3.1,4.138286,99.904321,-20.691429,-5,-0.004306,34.576476,0.040406,22.492789
3.2,4.137943,99.901235,-20.689714,-5,-0.004444,34.6176,0.041491,20.308745
3.3,4.137604,99.898148,-20.688022,-5,-0.004583,34.65474,0.042567,18.33628
3.4,4.137271,99.895062,-20.686354,-5,-0.004722,34.688282,0.043632,16.554889
3.5,4.136942,99.891975,-20.684708,-5,-0.004861,34.718576,0.044687,14.946054
3.6,4.136617,99.888889,-20.683085,-5,-0.005,34.745935,0.045729,13.49305
3.7,4.136297,99.885802,-20.681485,-5,-0.005139,34.770644,0.04676,12.180776
3.8,4.135981,99.882716,-20.679905,-5,-0.005278,34.79296,0.047777,10.995593
3.9,4.135669,99.87963,-20.678347,-5,-0.005417,34.813115,0.048782,9.925184
4,4.135362,99.876543,-20.67681,-5,-0.005556,34.831319,0.049772,8.958425
4.1,4.135059,99.873457,-20.675293,-5,-0.005694,34.84776,0.050749,8.085273
4.2,4.134759,99.87037,-20.673796,-5,-0.005833,34.862609,0.051711,7.296655
4.3,4.134464,99.867284,-20.672318,-5,-0.005972,34.87602,0.052659,6.584381
4.4,4.134172,99.864198,-20.67086,-5,-0.006111,34.888134,0.053593,5.941051
4.5,4.133884,99.861111,-20.669421,-5,-0.00625,34.899075,0.054512,5.359985
4.6,4.1336,99.858025,-20.668,-5,-0.006389,34.908957,0.055417,4.835149
4.7,4.133319,99.854938,-20.666597,-5,-0.006528,34.917883,0.056306,4.361096
4.8,4.133042,99.851852,-20.665211,-5,-0.006667,34.925946,0.057182,3.932903
4.9,4.132769,99.848765,-20.663843,-5,-0.006806,34.933229,0.058042,3.546128
