# Configuration: STAG 12 Pack (Pack 3S4P) @ 30.0A
# Output Level: Pack (scaled by series/parallel)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
6,12.271859,99.722222,-368.155773,-30,-0.05,25.007501,5.102399,-4.780667
6.1,12.27055,99.717593,-368.116505,-30,-0.050833,25.007552,5.128015,-4.813117
6.2,12.269259,99.712963,-368.077766,-30,-0.051667,25.007602,5.153103,-4.844879
6.3,12.267985,99.708333,-368.039543,-30,-0.0525,25.007651,5.177674,-4.875968
6.4,12.266728,99.703704,-368.001825,-30,-0.053333,25.007699,5.201739,-4.9064
6.5,12.265487,99.699074,-367.964603,-30,-0.054167,25.007745,5.22531,-4.936191
6.6,12.264262,99.694444,-367.927864,-30,-0.055,25.007791,5.248397,-4.965355
6.7,12.263053,99.689815,-367.891599,-30,-0.055833,25.007836,5.271011,-4.993907
6.8,12.26186,99.685185,-367.855797,-30,-0.056667,25.00788,5.293161,-5.02186
6.9,12.260682,99.680556,-367.820449,-30,-0.0575,25.007923,5.314858,-5.049228
7,12.259518,99.675926,-367.785545,-30,-0.058333,25.007965,5.336111,-5.076025
7.1,12.258369,99.671296,-367.751074,-30,-0.059167,25.008006,5.35693,-5.102263
7.2,12.257234,99.666667,-367.717029,-30,-0.06,25.008046,5.377324,-5.127955
7.3,12.256113,99.662037,-367.683399,-30,-0.060833,25.008086,5.397302,-5.153112
7.4,12.255006,99.657407,-367.650176,-30,-0.061667,25.008124,5.416874,-5.177748
7.5,12.253912,99.652778,-367.617352,-30,-0.0625,25.008162,5.436048,-5.201873
7.6,12.252831,99.648148,-367.584916,-30,-0.063333,25.008199,5.454832,-5.225499
7.7,12.251762,99.643519,-367.552862,-30,-0.064167,25.008236,5.473236,-5.248637
7.8,12.250706,99.638889,-367.52118,-30,-0.065,25.008271,5.491266,-5.271297
7.9,12.249662,99.634259,-367.489864,-30,-0.065833,25.008306,5.508932,-5.293491
8,12.24863,99.62963,-367.458904,-30,-0.066667,25.00834,5.526241,-5.315228
8.1,12.24761,99.625,-367.428294,-30,-0.0675,25.008374,5.5432,-5.336519
8.2,12.246601,99.62037,-367.398026,-30,-0.068333,25.008406,5.559818,-5.357373
8.3,12.245603,99.615741,-367.368092,-30,-0.069167,25.008438,5.576101,-5.377799
8.4,12.244616,99.611111,-367.338485,-30,-0.07,25.00847,5.592056,-5.397808
8.5,12.24364,99.606481,-367.309199,-30,-0.070833,25.008501,5.607692,-5.417409
8.6,12.242674,99.601852,-367.280226,-30,-0.071667,25.008531,5.623014,-5.436609
8.7,12.241719,99.597222,-367.25156,-30,-0.0725,25.00856,5.63803,-5.455419
8.8,12.240773,99.592593,-367.223194,-30,-0.073333,25.008589,5.652745,-5.473846
8.9,12.239837,99.587963,-367.195122,-30,-0.074167,25.008617,5.667167,-5.491898
9,12.238911,99.583333,-367.167337,-30,-0.075,25.008645,5.681302,-5.509585
9.1,12.237994,99.578704,-367.139833,-30,-0.075833,25.008672,5.695155,-5.526913
9.2,12.237087,99.574074,-367.112605,-30,-0.076667,25.008699,5.708733,-5.543891
9.3,12.236188,99.569444,-367.085645,-30,-0.0775,25.008725,5.722042,-5.560526
9.4,12.235298,99.564815,-367.058949,-30,-0.078333,25.008751,5.735088,-5.576826
9.5,12.234417,99.560185,-367.032511,-30,-0.079167,25.008776,5.747876,-5.592798
9.6,12.233544,99.555556,-367.006325,-30,-0.08,25.0088,5.760412,-5.608448
9.7,12.23268,99.550926,-366.980386,-30,-0.080833,25.008824,5.7727,-5.623785
9.8,12.231823,99.546296,-366.954689,-30,-0.081667,25.008848,5.784748,-5.638814
9.9,12.230974,99.541667,-366.929228,-30,-0.0825,25.008871,5.796559,-5.653542
10,12.230133,99.537037,-366.903998,-30,-0.083333,25.008894,5.808138,-5.667976
10.1,12.2293,99.532407,-366.878995,-30,-0.084167,25.008916,5.819492,-5.682123
10.2,12.228474,99.527778,-366.854213,-30,-0.085,25.008938,5.830624,-5.695987
10.3,12.227655,99.523148,-366.829648,-30,-0.085833,25.008959,5.841539,-5.709576
10.4,12.226843,99.518519,-366.805295,-30,-0.086667,25.00898,5.852242,-5.722896
10.5,12.226038,99.513889,-366.781149,-30,-0.0875,25.009,5.862738,-5.735951
10.6,12.22524,99.509259,-366.757207,-30,-0.088333,25.00902,5.87303,-5.748749
10.7,12.224449,99.50463,-366.733463,-30,-0.089167,25.00904,5.883124,-5.761294
10.8,12.223664,99.5,-366.709914,-30,-0.09,25.009059,5.893023,-5.773591
10.9,12.222976,99.49537,-366.689266,-30,-0.090833,25.009078,5.901871,-5.785603
11,12.222293,99.490741,-366.668805,-30,-0.091667,25.009097,5.910532,-5.797301
11.1,12.221618,99.486111,-366.648525,-30,-0.0925,25.009114,5.919011,-5.808695
11.2,12.220947,99.481481,-366.628425,-30,-0.093333,25.009132,5.927312,-5.819798
11.3,12.220283,99.476852,-366.608498,-30,-0.094167,25.009149,5.935439,-5.83062
11.4,12.219625,99.472222,-366.588743,-30,-0.095,25.009165,5.943394,-5.841173
11.5,12.218972,99.467593,-366.569154,-30,-0.095833,25.009182,5.951183,-5.851466
11.6,12.218324,99.462963,-366.549729,-30,-0.096667,25.009197,5.958808,-5.861508
11.7,12.217682,99.458333,-366.530465,-30,-0.0975,25.009213,5.966272,-5.871308
11.8,12.217045,99.453704,-366.511356,-30,-0.098333,25.009228,5.973581,-5.880873
11.9,12.216413,99.449074,-366.492402,-30,-0.099167,25.009242,5.980736,-5.890213
12,12.215787,99.444444,-366.473597,-30,-0.1,25.009257,5.987741,-5.899333
12.1,12.215165,99.439815,-366.454939,-30,-0.100833,25.009271,5.994599,-5.908241
12.2,12.214547,99.435185,-366.436424,-30,-0.101667,25.009284,6.001314,-5.916943
12.3,12.213935,99.430556,-366.41805,-30,-0.1025,25.009298,6.007888,-5.925446
12.4,12.213327,99.425926,-366.399814,-30,-0.103333,25.009311,6.014324,-5.933755
12.5,12.212724,99.421296,-366.381712,-30,-0.104167,25.009323,6.020626,-5.941875
