# Configuration: STAG 12 Pack (Pack 3S4P) @ 20.0A
# Output Level: Cell (raw cell values)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
0,4.152417,100,-20.762086,-5,0,25,0.020864,0
0.1,4.151617,99.996914,-20.758086,-5,-0.000139,25.000041,0.02431,-0.002193
0.2,4.150832,99.993827,-20.754158,-5,-0.000278,25.000085,0.027684,-0.004503
0.3,4.15006,99.990741,-20.750301,-5,-0.000417,25.00013,0.030988,-0.006913
0.4,4.149303,99.987654,-20.746513,-5,-0.000556,25.000177,0.034222,-0.009407
0.5,4.148559,99.984568,-20.742793,-5,-0.000694,25.000225,0.037389,-0.011969
0.6,4.147828,99.981481,-20.739139,-5,-0.000833,25.000275,0.040489,-0.014586
0.7,4.14711,99.978395,-20.73555,-5,-0.000972,25.000325,0.043525,-0.017246
0.8,4.146405,99.975309,-20.732024,-5,-0.001111,25.000375,0.046497,-0.01994
0.9,4.145712,99.972222,-20.72856,-5,-0.00125,25.000427,0.049407,-0.022658
1,4.145031,99.969136,-20.725157,-5,-0.001389,25.000478,0.052257,-0.025392
1.1,4.144363,99.966049,-20.721814,-5,-0.001528,25.00053,0.055047,-0.028134
1.2,4.143706,99.962963,-20.718528,-5,-0.001667,25.000581,0.057779,-0.030877
1.3,4.14306,99.959877,-20.715299,-5,-0.001806,25.000633,0.060455,-0.033617
1.4,4.142425,99.95679,-20.712126,-5,-0.001944,25.000684,0.063074,-0.036348
1.5,4.141801,99.953704,-20.709007,-5,-0.002083,25.000736,0.065639,-0.039065
1.6,4.141188,99.950617,-20.705942,-5,-0.002222,25.000786,0.068151,-0.041765
1.7,4.140586,99.947531,-20.702928,-5,-0.002361,25.000837,0.070611,-0.044444
1.8,4.139993,99.944444,-20.699966,-5,-0.0025,25.000887,0.07302,-0.047099
1.9,4.13943,99.941358,-20.697151,-5,-0.002639,25.000936,0.075329,-0.049726
2,4.138877,99.938272,-20.694385,-5,-0.002778,25.000985,0.07759,-0.052319
2.1,4.138333,99.935185,-20.691666,-5,-0.002917,25.001033,0.079802,-0.054878
2.2,4.137799,99.932099,-20.688995,-5,-0.003056,25.001081,0.081968,-0.057401
2.3,4.137274,99.929012,-20.686369,-5,-0.003194,25.001128,0.084089,-0.059887
2.4,4.136758,99.925926,-20.683788,-5,-0.003333,25.001174,0.086164,-0.062335
2.5,4.13625,99.92284,-20.68125,-5,-0.003472,25.001219,0.088196,-0.064745
2.6,4.135751,99.919753,-20.678756,-5,-0.003611,25.001264,0.090185,-0.067117
2.7,4.135261,99.916667,-20.676303,-5,-0.00375,25.001308,0.092132,-0.069449
2.8,4.134778,99.91358,-20.673891,-5,-0.003889,25.001351,0.094038,-0.071742
2.9,4.134304,99.910494,-20.67152,-5,-0.004028,25.001393,0.095904,-0.073995
3,4.133838,99.907407,-20.669188,-5,-0.004167,25.001435,0.09773,-0.076209
3.1,4.133379,99.904321,-20.666894,-5,-0.004306,25.001476,0.099518,-0.078383
3.2,4.132927,99.901235,-20.664637,-5,-0.004444,25.001516,0.101269,-0.080518
3.3,4.132484,99.898148,-20.662418,-5,-0.004583,25.001556,0.102983,-0.082614
3.4,4.132047,99.895062,-20.660234,-5,-0.004722,25.001594,0.104661,-0.084671
3.5,4.131617,99.891975,-20.658086,-5,-0.004861,25.001632,0.106304,-0.08669
3.6,4.131194,99.888889,-20.655972,-5,-0.005,25.00167,0.107912,-0.088671
3.7,4.130778,99.885802,-20.653891,-5,-0.005139,25.001706,0.109487,-0.090613
