# Configuration: STAG 12 Pack (Pack 3S4P) @ 30.0A
# Output Level: Cell (raw cell values)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
5.7,4.091965,99.736111,-30.689738,-7.5,-0.011875,25.007342,0.418522,-0.389918
5.8,4.09151,99.731481,-30.686328,-7.5,-0.012083,25.007396,0.420795,-0.392803
5.9,4.091062,99.726852,-30.682965,-7.5,-0.012292,25.007449,0.42302,-0.395626
6,4.09062,99.722222,-30.679648,-7.5,-0.0125,25.007501,0.4252,-0.398389
6.1,4.090183,99.717593,-30.676375,-7.5,-0.012708,25.007552,0.427335,-0.401093
6.2,4.089753,99.712963,-30.673147,-7.5,-0.012917,25.007602,0.429425,-0.40374
6.3,4.089328,99.708333,-30.669962,-7.5,-0.013125,25.007651,0.431473,-0.406331
6.4,4.088909,99.703704,-30.666819,-7.5,-0.013333,25.007699,0.433478,-0.408867
6.5,4.088496,99.699074,-30.663717,-7.5,-0.013542,25.007745,0.435443,-0.411349
6.6,4.088087,99.694444,-30.660655,-7.5,-0.01375,25.007791,0.437366,-0.41378
6.7,4.087684,99.689815,-30.657633,-7.5,-0.013958,25.007836,0.439251,-0.416159
6.8,4.087287,99.685185,-30.65465,-7.5,-0.014167,25.00788,0.441097,-0.418488
6.9,4.086894,99.680556,-30.651704,-7.5,-0.014375,25.007923,0.442905,-0.420769
7,4.086506,99.675926,-30.648795,-7.5,-0.014583,25.007965,0.444676,-0.423002
7.1,4.086123,99.671296,-30.645923,-7.5,-0.014792,25.008006,0.446411,-0.425189
7.2,4.085745,99.666667,-30.643086,-7.5,-0.015,25.008046,0.44811,-0.42733
7.3,4.085371,99.662037,-30.640283,-7.5,-0.015208,25.008086,0.449775,-0.429426
7.4,4.085002,99.657407,-30.637515,-7.5,-0.015417,25.008124,0.451406,-0.431479
7.5,4.084637,99.652778,-30.634779,-7.5,-0.015625,25.008162,0.453004,-0.433489
7.6,4.084277,99.648148,-30.632076,-7.5,-0.015833,25.008199,0.454569,-0.435458
7.7,4.083921,99.643519,-30.629405,-7.5,-0.016042,25.008236,0.456103,-0.437386
7.8,4.083569,99.638889,-30.626765,-7.5,-0.01625,25.008271,0.457606,-0.439275
7.9,4.083221,99.634259,-30.624155,-7.5,-0.016458,25.008306,0.459078,-0.441124
8,4.082877,99.62963,-30.621575,-7.5,-0.016667,25.00834,0.46052,-0.442936
8.1,4.082537,99.625,-30.619024,-7.5,-0.016875,25.008374,0.461933,-0.44471
8.2,4.0822,99.62037,-30.616502,-7.5,-0.017083,25.008406,0.463318,-0.446448
8.3,4.081868,99.615741,-30.614008,-7.5,-0.017292,25.008438,0.464675,-0.44815
8.4,4.081539,99.611111,-30.61154,-7.5,-0.0175,25.00847,0.466005,-0.449817
8.5,4.081213,99.606481,-30.6091,-7.5,-0.017708,25.008501,0.467308,-0.451451
8.6,4.080891,99.601852,-30.606686,-7.5,-0.017917,25.008531,0.468585,-0.453051
8.7,4.080573,99.597222,-30.604297,-7.5,-0.018125,25.00856,0.469836,-0.454618
8.8,4.080258,99.592593,-30.601933,-7.5,-0.018333,25.008589,0.471062,-0.456154
8.9,4.079946,99.587963,-30.599594,-7.5,-0.018542,25.008617,0.472264,-0.457658
9,4.079637,99.583333,-30.597278,-7.5,-0.01875,25.008645,0.473442,-0.459132
9.1,4.079331,99.578704,-30.594986,-7.5,-0.018958,25.008672,0.474596,-0.460576
9.2,4.079029,99.574074,-30.592717,-7.5,-0.019167,25.008699,0.475728,-0.461991
9.3,4.078729,99.569444,-30.59047,-7.5,-0.019375,25.008725,0.476837,-0.463377
9.4,4.078433,99.564815,-30.588246,-7.5,-0.019583,25.008751,0.477924,-0.464735
9.5,4.078139,99.560185,-30.586043,-7.5,-0.019792,25.008776,0.47899,-0.466066
9.6,4.077848,99.555556,-30.58386,-7.5,-0.02,25.0088,0.480034,-0.467371
9.7,4.07756,99.550926,-30.581699,-7.5,-0.020208,25.008824,0.481058,-0.468649
9.8,4.077274,99.546296,-30.579557,-7.5,-0.020417,25.008848,0.482062,-0.469901
9.9,4.076991,99.541667,-30.577436,-7.5,-0.020625,25.008871,0.483047,-0.471129
10,4.076711,99.537037,-30.575333,-7.5,-0.020833,25.008894,0.484012,-0.472331
10.1,4.076433,99.532407,-30.57325,-7.5,-0.021042,25.008916,0.484958,-0.47351
10.2,4.076158,99.527778,-30.571184,-7.5,-0.02125,25.008938,0.485885,-0.474666
10.3,4.075885,99.523148,-30.569137,-7.5,-0.021458,25.008959,0.486795,-0.475798
10.4,4.075614,99.518519,-30.567108,-7.5,-0.021667,25.00898,0.487687,-0.476908
10.5,4.075346,99.513889,-30.565096,-7.5,-0.021875,25.009,0.488561,-0.477996
10.6,4.07508,99.509259,-30.563101,-7.5,-0.022083,25.00902,0.489419,-0.479062
10.7,4.074816,99.50463,-30.561122,-7.5,-0.022292,25.00904,0.49026,-0.480108
10.8,4.074555,99.5,-30.559159,-7.5,-0.0225,25.009059,0.491085,-0.481133
10.9,4.074325,99.49537,-30.557439,-7.5,-0.022708,25.009078,0.491823,-0.482134
11,4.074098,99.490741,-30.555734,-7.5,-0.022917,25.009097,0.492544,-0.483108
